data-id;url;url-2;author;year ;name;description;section;price
32;https://timeentertainment.files.wordpress.com/2011/07/t100_novels_french-lieutenants-woman.jpg?w=260;img/book_title/32;John Fowles;1969;The French Lieutenant's Woman;"A magnificent game of a novel, one in which the brilliant postmodern contrivances actually add to the poignancy of its anguished Victorian characters. Charles Smithson is an amateur paleontologist living on the southwestern coast of England. Ernestina is his drearily upright fiancee. Sarah Woodruff is an enigmatic local governess, said to be pining for a French soldier who has misused her. The fourth major figure in this book is not a character but the author. By no means all-powerful, he discovers early on that he has lost control of his characters and proposes in that case to let them have their freedom. And he means it. The story procedes through alternative episodes   in one Charles marries Ernestina; in another he doesn't   and multiple endings, with the author sometimes turning up to walk among his characters and comment tartly on their actions. In its final pages   don't dare to call them a conclusion; in a book so open-ended, what could that word mean?   he opens a vista onto freedom that's both dazzling and devastating.";Pre-orders;8.99
33;https://timeentertainment.files.wordpress.com/2011/07/t100_novels_goldennotebook.jpg?w=260;img/book_title/33;Doris Lessing;1962;The Golden Notebook;Anna Wulf is a writer who keeps four notebooks, each a different color, each reflecting a different part of her. The black one contains recollections of her youthful wartime years in West Africa, experiences that went into her first novel. In the red one she reflects on her later life in London's leftist and intellectual circles. The blue notebook analyzes her fraught relations with men. The yellow contains her fragmentary attempts at new fiction. With the fifth, the golden notebook, and with The Golden Notebook, Wulf/Lessing struggles to tie all the threads fearlessly back together again. All the currents of her time flow through Anna Marx and Freud and the burgeoning dissatisfactions among women that would eventually explode into feminism. Lessing's earnestness can be too much at times, but as a portrait of a woman coming to grips with the realities of her time her book is indispensable.;New;16.00
34;https://timeentertainment.files.wordpress.com/2011/07/t100_novels_gotellitonthemountain1st.jpg?w=260;img/book_title/34;James Baldwin;1953;Go Tell it on the Mountain;For his ferocious debut novel, Baldwin reached back to his experiences as a teenage Pentecostal preacher in Harlem and set them down in language steeped in the high and mighty rhetoric of Scripture. At age 14 John Grimes is bedeviled by the new stirrings in 'his treacherous and bewildering body' and resentful of his preacher stepfather, once an energetic sinner, whose dual nature is now divided between the dutiful but restless John and John's older brother Roy, another hell-raiser in training. The boys' mother, Elizabeth, labors to keep the passions of her men in check, all the while holding secrets of her own. Their stories run dark and deep, while the fierce music of Baldwin's voice courses through those stories and lends them majesty.;New;25.00
35;https://timeentertainment.files.wordpress.com/2011/07/t100_novels_gone-with-the-wind.jpg?w=260;img/book_title/35;Margaret Mitchell;1936;Gone With the Wind;It's one of the best-selling books ever bound between covers, but that's not what makes Margaret Mitchell's magnificent mint julep of a novel great. The ultimate, original sweeping historical romance, it follows high-spirited Scarlett O'Hara, roguish Rhett Butler and romantic, infinitely good-looking Ashley Wilkes as the world that nurtured them is swept away in the cataclysm of the Civil War. As quintessentially American as Tolkien's The Lord of the Rings is English, Gone with the Wind is a colossally readable romance novel   love stories do not come more triangular but it's also the definitive telling of one of the basic American mythologies: the passing away, in blood and ashes, of the grand old South.;Pre-orders;7.99
36;https://timeentertainment.files.wordpress.com/2011/07/t100_novels_grapes-of-wrath.jpg?w=260;img/book_title/36;John Steinbeck;1939;The Grapes of Wrath;The storms of the great Dust Bowl had barely settled when Steinbeck published The Grapes of Wrath, which follows a family of impoverished 'Okies,' the Joads, as they chase the mirage of a good life westward from their devastated midwestern farm to California. The Joads find only bitterness, squalor and oppression as migrant agricultural workers living in 'Hoovervilles,' but their indomitable strength in the face of an entire continent's worth of adversity makes Steinbeck's epic far more than a history of unfortunate events: It's both a record of its time and a permanent monument to human perseverance.;New;11.00
37;https://timeentertainment.files.wordpress.com/2011/07/t100_novels_gravitys-rainbow.jpg?w=260;img/book_title/37;Thomas Pynchon;1973;Gravity's Rainbow;No, it is not unreadable. For most of its 700-plus pages it's so crazily, scarily, sumptuously readable that you hate to put it aside even as the last paragraph thunders down on your head. The unsummarizable plot centers, to the extent that it centers at all, on Tyrone Slothrop, an American who comes to the attention of British intelligence during World War II when a map indicating the locales of his sexual encounters with London women shows that they correspond with the places struck by German V-2 missiles. Can his erections predict the random distribution of agents of death? From there we proceed into a massive continent-wide effort to construct a V-2, which is itself an occasion for a fantastic multitude of meditations upon the human need to build systems of intellectual order even as we use the same powers of intellect to hasten our destruction. (Did we mention that this is also a comedy, more or less?) Among American writers of the second half of the 20th century, Pynchon is the indisputed candidate for lasting literary greatness. This book is why.;New;8.99
38;https://timeentertainment.files.wordpress.com/2011/07/t100_novels_great-gatsby.jpg?w=260;img/book_title/38;F. Scott Fitzgerald;1925;The Great Gatsby;No one gives better parties than Jazz Age zillionaire Jay Gatsby. No one has a bigger house or a bigger pool, or drives a longer, sleeker, more opulent automobile. His silk shirts alone 'shirts with stripes and scrolls and plaids in coral and apple green and lavender and faint orange with monograms of Indian blue'–can and do reduce women to tears. But who is he? Where does he come from, where did he make his megabucks, and why his sober, straight-arrow neighbor (and narrator) Nick wonders does he stand on his dock at night and stretch out his arms to a green light shining across the bay from his magnificent mansion? The Great Gatsby lays bare the empty, tragic heart of the self-made man. It's not only a page-turner and a heartbreaker, it's one of the most quintessentially American novels ever written.;Pre-orders;7.00
39;https://timeentertainment.files.wordpress.com/2011/07/t100_novels_handfullofdust.jpg?w=260;img/book_title/39;Evelyn Waugh;1934;A Handful of Dust;Devoted to his wife, Brenda, his son, John Andrew, and to Hetton, his very ugly neo-Gothic homestead, Tony Last will lose all three. As his name is always announcing, Last lives at the end of a dying age, the brittle, exhausted 1930s, when England, at least Waugh's England, is a place where Brenda can throw herself at the feet of a childish lover and where Last can discard his life on an absurd caprice. Waugh's own marriage was disintegrating when he wrote this, and his unhappiness led him into wider realms of feeling   pathos, rage   than any you find in his earlier triumphs of nasty wit, Decline and Fall and Vile Bodies. Sound dreary? Not even slightly. If this is Waugh at his bleakest it's also Waugh at his deepest, most poisonously funny.;New;5.50
40;https://timeentertainment.files.wordpress.com/2011/07/t100_novels_heartisalonelyhunter.jpg?w=260;img/book_title/40;Carson McCullers;1940;The Heart is A Lonely Hunter;"When Carson McCullers was a teenager, she came to New York City to study piano at Juilliard. She never matriculated; she lost the purse with her tuition money in it. Such small, unredressed tragedies as these are at the silent, solitary heart of McCullers' first novel, which centers on a deaf-mute and a teenage tomboy living in a small Georgia town in the 1930s. McCullers' characters reach out to one another for sympathy and understanding, but not all of them can complete the connection, and their isolated thoughts form a choir of amazing, transcendent poignance   music only the reader can hear.";Sale;15.00
41;https://timeentertainment.files.wordpress.com/2011/07/t100_novels_heartofthemetter.jpg?w=260;img/book_title/41;Graham Greene;1948;The Heart of the Matter;"He felt the loyalty we all feel to unhappiness the sense that there is where we really belong. Nobody could do abjection like Greene. And no one could parse moral dilemmas with quite his eye for the subtle ways that Satan persuades the righteous. Henry Scobie is one of his supreme creations, a British colonial police officer stationed during World War II in a damp, vulture-ridden West African town. A Roman Catholic mindful of his duties to God, Scobie thinks of himself as incorruptible, but he has not counted on the power of his own excesses of pity to beguile him. To deliver his wife from unhappiness he is led into complicity with smugglers; to save a young woman from despair   but no less to save himself   he is drawn into adultery; to rescue them both from his misjudgments he is led to betray his God. A man for whom humility becomes a kind of perverse pride arrives at a place where he wills his own damnation as the one means to escape his earthly predicaments.";Sale;14.99
42;https://timeentertainment.files.wordpress.com/2011/07/t100_novels_herzog1st.jpg?w=260;img/book_title/42;Saul Bellow;1964;Herzog;Like Binx Bolling in Percy's The Moviegoer, but at a much higher pitch of talkative despair, Chaim Herzog is a man on a philosophical quest. 'Much of my life has been spent in the effort to live by more coherent ideas,' he tells us. 'I even know which ones.' But unlike Bolling he is in the grip of a crisis that's not merely existential. His wife has left him for somebody he thought was a good friend, taking with her his beloved daughter. This plunges him into a tormented appraisal not only of himself and the people around him, but of nearly everything that has transpired since the Age of Reason got under way. You get to watch him shake his head, and sometimes his fist, at the world, all the while asking it, unbreak my heart.;Sale;15.00
43;https://timeentertainment.files.wordpress.com/2011/07/t100_novels_housekeeping.jpg?w=260;img/book_title/43;Marilynne Robinson;1981;Housekeeping;Fingerbone is a fictional town in the Pacific Northwest. It rests along a lake that has the distinction of once having claimed an entire train that slid from a bridge into its dark waters one night, taking almost all on board to their deaths. Time swallows people in the same way in this sly book. The narrator is Ruth, a teenaged girl. She and her sister are raised, affectionately but haphazardly, by various generations of the women in her all-too-eccentric family. This is a book about women, making homes and leaving them. Even when the girls stay home, the days and nights pass and the plot goes nowhere in particular, Robinson arrives again and again in resounding places.;Sale;12.80
44;https://timeentertainment.files.wordpress.com/2011/07/t100_novels_houseforbiswas.jpg?w=260;img/book_title/44;V.S. Naipaul;1962;A House for Mr. Biswas;When Mohun Biswas married his wife, Shama, he effectively married her entire family, the daunting, smothering Tulsis. Set in the Hindu community in postcolonial Trinidad   where Naipaul was born   A House for Mr. Biswas is the life story of a man who wanted only a home, but who was a magnet for misfortune, oppression and humiliation, 'a wanderer with no place he could call his own, with no family except that which he was to attempt to create out of the engulfing world of the Tulsis.' Mohun's survival is a triumph of resilience and persistence and humor, an epic of dignity and self-respect doggedly clung to.;Sale;6.99
45;https://timeentertainment.files.wordpress.com/2011/07/t100_novels_i-claudius.jpg?w=260;img/book_title/45;Robert Graves;1934;I, Claudius;Though he briefly became emperor, Claudius, the limping, stuttering grandson of Caesar Augustus, is not your usual Roman on a pedestal. Sly, even bitchy, an appalled observer of his treacherous times   in his voice you hear the worldliness of classical literature with none of its marble officialdom. A member of a ruthless and murderous imperial family, he survives because he seems to all around him the least consequential twig of the family tree. But Claudius bears enduring witness to a moment when the virtues of the Roman republic, which has already been disposed of by the time he begins his tale, are being lost to the bloodlusts and hubris of the Roman empire.;Sale;7.00
46;https://timeentertainment.files.wordpress.com/2011/07/t100_novels_infinitejest.jpg?w=260;img/book_title/46;David Foster;1996;Infinite Jest;"The title is a sly wink at the book's massive girth it's 1,000-plus pages in most editions but the reference to Hamlet is well-earned; moreover, it's a damn funny book. The action takes place in Boston at two separate but curiously similar venues an elite tennis academy and a drug rehabilitation facility in a near future in which calendar years are available for corporate sponsorship (the Year of the Trial Size Dove Bar, the Year of the Depend Adult Undergarment, and so on). The plot of Infinite Jest which revolves around, among other things, a lost, unwatchably beautiful art film and a conspiracy among wheelchair-bound Quebecois secessionists is decidedly secondary to the painfully funny dialogue and Wallace's endlessly rich ruminations and speculations on addiction, entertainment, art, life and, of course, tennis.";Sale;5.50
47;https://timeentertainment.files.wordpress.com/2011/07/t100_novels_invisibleman1st.jpg?w=260;img/book_title/47;Ralph Ellison;1952;Invisible Man;A nameless young black man wends a tortuous path from a southern town   where a local white men's club mockingly awards him a scholarship to a black college   to the streets of New York City, where everybody, black and white, left and right, man and woman, seems to have their own ideas about who he is and what purpose he can serve. Evenhandedly exposing the hypocrisies and stereotypes of all comers, Invisible Man is far more than a race novel, or even a bildungsroman. It's the quintessential American picaresque of the 20th century.;Sale;14.99
48;https://timeentertainment.files.wordpress.com/2011/07/t100_novels_lightinaugust1st.jpg?w=260;img/book_title/48;William Faulkner;1932;Light in August;This book, Faulkner's grave meditation on race, violence and all the fraught legacies of the South, is the first in which he confronted head-on the poisons of racism. Joe Christmas believes himself to be of mixed race. (His parentage is uncertain.) He has escaped from a miserable childhood to the town of Jefferson, Miss., where he unleashes his demons. Lena Grove has come there, too, looking for the father of the child she is carrying while Christmas fulfills his wretched destiny. This book is less daring structurally than The Sound and the Fury or As I Lay Dying. Though time still folds back on itself, so that events seem to take place in a zone beyond normal chronology, the flashbacks are easier to follow. But the force of Faulkner's genius is in entirely in play.;Sale;15.00
49;https://timeentertainment.files.wordpress.com/2011/07/t100_novels_lionwitchwardrobe.jpg?w=260;img/book_title/49;C.S. Lewis;1950;The Lion, The Witch and the Wardrobe;Four English children playing hide-and-seek accidentally wander through an enchanted wardrobe and into Narnia, a land locked in a deep magical winter by the spells of an evil witch queen. Only the fierce, benevolent lion Aslan (with a little help from the children) can vanquish the tyrant and bring summer back to Narnia and the talking animals who live there. Lewis was a Christian philosopher, and The Lion, the Witch and the Wardrobe (and the six more Narnia novels that followed) can be read as Christian morality tales, but they're not just kid stuff: Lewis had a surprisingly sharp eye for the dark shades of the human soul, sin and anger and temptation, and readers of any faith, or none at all, will feel the enormous power of Lewis's irresistible, transporting sense of wonder.;Sale;12.80
50;https://timeentertainment.files.wordpress.com/2011/07/t100_novels_lolita.jpg?w=260;img/book_title/50;Vladimir Nabokov;1955;Lolita;"It had a troubled birth; Nabokov almost burned the manuscript of Lolita halfway through and its first publisher was a French pornographic press. But Lolita would go on to become a huge best-seller and the unlikeliest of American classics. Our hero, who goes by the self-mocking name of Humbert Humbert, is a pedophile. He is a highly cultured, endearingly ironic man, and he loathes himself about as much as a human being can, but he loves, and can only love, nubile young girls, whom he calls 'nymphets.' Lolita is the story of Humbert's romance   if that's the word, which it isn't with a 12-year-old girl named Dolores Haze. Their story is as vile and obscene as one can imagine, but Humbert's voice, an endlessly inventive stream of angry, cosmopolitan invective, elevates it to the level of a tragic, twisted epic.";Sale;15.00
51;https://timeentertainment.files.wordpress.com/2011/07/t100_novels_lord-of-the-flies.jpg?w=260;img/book_title/51;William Golding;1955;Lord of the Flies;The premise: A planeload of young boys is marooned on a nameless tropical island and they are forced to fend for themselves. If this novel had been written in the 19th century it would have been about the cheery, whimsical never-neverland the boys created. But in Golding's version, the veneer of childish purity wears away quickly in the absence of adults, and the boys become two warring tribes, one under the saintly Ralph and his asthmatic sidekick Piggy, one under the savage ex-choir-leader Jack. Golding tracks the fall of this new Eden with pitiless, meticulous care and total psychological clarity, and in the process he ruthlessly strips away the myths and cliches of childhood innocence forever.;Sale;12.80
52;https://timeentertainment.files.wordpress.com/2011/07/t100_novels_lordoftherings.jpg?w=260;img/book_title/52;J.R.R. Tolkien;1954;The Lord of the Rings;When a tweedy, Catholic, pipe-smoking Oxford professor named John Ronald Reuel Tolkien sat down to write a novel, who could have anticipated that his volcanic imagination would give rise to an entire continent, populated by elves, dwarves, orcs, wizards and ambulatory trees? Tolkien drew on his deep knowledge of ancient languages and mythology, and his agonizing memories of the Somme, to create a 20th-century fable of magic and heroism, misty mountains and mystical forests, goodness and temptation, wherein a tiny gnomelike hobbit, Frodo, goes on a quest to destroy the One Ring, a malevolent artifact that could be the downfall of all of Middle Earth. The founding text of modern fantasy literature, The Lord of the Rings also carries with it a profound, melancholy nostalgia for the innocent pre-industrial England that was lost forever in the muddy trenches of World War I.;Sale;8.99
53;https://timeentertainment.files.wordpress.com/2011/07/t100_novels_moviegoer.jpg?w=260;img/book_title/53;Walker Percy;1961;The Moviegoer;"What is the nature of the search? you ask. Really it is very simple; at least for a fellow like me. So simple that it is often overlooked. The search is what anyone would undertake if he were not sunk in the everydayness of his own life.' Percy's novel, his first, is a philosophical quest in which the question marks are worn lightly. Binx Bolling is a New Orleans investment broker who chafes over the difficulty of bringing life into high relief. Mere existence lacks flavor. Movies give him a glimpse of a higher possibility. That and sex with his succession of pretty secretaries. But he longs for a more enduring solution. You marvel at how lightly he addresses his displeasures Percy's book is like Sartre's Nausea without the nausea. But Binx is still a man who always has his despair at the ready, and his story can shift toward the tragic with ease.";Sale;7.00
54;https://timeentertainment.files.wordpress.com/2011/07/t100_novels_lucky_jim.jpg?w=260;img/book_title/54;Kingsley Amis;1954;Lucky Jim;"Jim Dixon doesn't feel lucky. He's a junior lecturer at a no-account college in provincial England. His daily life is a litany of hilariously (from our perspective, anyway) petty humiliations at the hands of his superiors notably the odious, conceited Professor Welch his students and his co-dependent sort-of-girlfriend Margaret. Jim may be the single bitterest character in all of English literature; Amis certainly crafts the most brutally accurate description of a hangover ever written. A punishingly, viscerally funny attack on hypocrisy and self-importance in all their many and varied forms, Lucky Jim gave rise to much of the angry-young-man fiction that followed, but it never met its equal.";Sale;5.50
55;https://timeentertainment.files.wordpress.com/2011/07/t100_novels_manwholoveschildren.jpg?w=260;img/book_title/55;Christina Stead;1940;The Man Who Loved Children;Though it was first published in 1940, it wasn't until a reissue 25 years later that Stead's novel was recognized for the masterpiece it is   the greatest picture ever of the lousiest family of all time. Sam Pollit is an exhausting monstrosity of a husband and father, not always cruel, but always self-regarding   'Sam the Bold' is his name for himself   and self-deluding. (He's anything but bold.) His wife Henny, the one he barely speaks to, is nervous, self-pitying and neurotic, the kind of mother who steals from her children's piggy banks, diverts herself with a half-witted boyfriend and devolves into a sniffling hag. Their children, six of them, are appalled witnesses to the spectacle of their parents' collapse and the helpless recipients of their toxic attentions. Stead, an Australian with a wonderful style, both headlong and sturdy, is fearless in her depiction of the Pollits and more compassionate in her judgments than you or I could ever be. When you know how heavily this novel was based upon her own childhood, that compassion seems even more remarkable.;Sale;15.00
56;https://timeentertainment.files.wordpress.com/2011/07/t100_novels_midnightschildren.jpg?w=260;img/book_title/56;Salman Rushdie;1981;Midnight's Children;Rushdie's version of The Prince and the Pauper becomes a cartwheeling parable about the fate of modern India. At the stroke of midnight on August 15, 1947, the date on which India proclaimed itself independent from Great Britain, 1,001 children are born with supernatural powers. Two are switched at birth, the illegitimate son of a poor Hindu woman and the offspring of wealthy Muslims. Rushdie follows them through 30 years of partition, violence and Indira Gandhi's iron-fisted rule. The personal is the political here with a vengeance, as history becomes farce, becomes legend becomes memory becomes history again.;Sale;8.99
57;https://timeentertainment.files.wordpress.com/2011/07/t100_novels_money.jpg?w=260;img/book_title/57;Martin Amis;1984;Money;John Self, the extravagantly wretched man at the heart of this wonderfully funny book, is no ordinary pig. A slave to his countless vices, a monster of lustrous indulgence, he's the kind of sleazeball who puts the id back in idiot. Naturally, he's in the movie business. To be precise, he's a director of TV commercials who is making his first feature while perfecting his gift for self-destruction. (And, by the way, offering what is frequently an astute take on this profane world of ours.) Self's spectacular lusts, his raw craving for money, sex and stimulants, his low cunning, his sheer, bewitching awfulness somehow it all makes him perfectly irresistible.;Sale;16.00
58;https://timeentertainment.files.wordpress.com/2011/07/t100_novels_mrs_dalloway1st.jpg?w=260;img/book_title/58;Virginia Woolf;1925;Mrs. Dalloway;"Clarissa Dalloway is the kind of woman you would pass on the street without a thought, or would if you lived in London in 1923: middle-aged, upper-middle-class, well-married and well-fed. But Woolf draws aside the veil of her placid exterior to reveal the dreams, fears, foibles, passion and pain that swirl endlessly just beneath it. Mrs. Dalloway follows Clarissa through the course of a single day, and as she goes about her errands, preparing for a party she's giving that night, we drift and rock on the ebb and flow of her lost love for an old flame who resurfaces unexpectedly; her never-consummated lesbian longing for a childhood friend; and her endless yearning for some firm sense of what, in the swirling detritus and ephemera that make up daily life, is true and good and permanent.";Popular;12.80
59;https://timeentertainment.files.wordpress.com/2011/07/t100_novels_nakedlunch.jpg?w=260;img/book_title/59;William Burroughs;1959;Naked Lunch;An heir to the Burroughs adding machine fortune, Burroughs the novelist hated the despots of Squaresville and the whole world where money makes its fist. This is his greatest book and the template for all the ones that followed. With its fractured account of junkies and assorted urban desperadoes, its fang-baring humor and its sudden excursions into sheer hallucination, it instantly made him the depraved scoutmaster for generations of would-be hipsters. He once said, 'My purpose in writing has always been to express human potentials and purposes relevant to the Space Age'   by which he meant addiction and willful extremity, both of which of course have turned out to be virtues in the modern market economy. Like Jean Genet, Burroughs trafficks in the utmost degradations, but he doesn't go to them looking for unsuspected sources of radiance. He likes them for what they are. His conversations in hell with the Marquis de Sade must be very entertaining.;Popular;22.25
60;https://timeentertainment.files.wordpress.com/2011/07/t100_novels_nativeson.jpg?w=260;img/book_title/60;Richard Wright;1940;Native Son;It would have been easy to write a book about a black man unjustly accused. Wright wrote the hard one. In Chicago of the 1930's, where Bigger Thomas has found work as a chauffeur, he murders a young white woman, the only child of the wealthy family who has just hired him. Though the killing is accidental, it becomes a kind of retroactive act of will. It leads Thomas to an inquiry into his own injuries and humiliations at the hands of a sometimes literally bloodthirsty white society. There are passages of standard social preachment in this book, but Wright brings Bigger's situation into the most uncomfortable places of the American racial standoff. That's exactly where it had to go.;Popular;18.00
61;https://timeentertainment.files.wordpress.com/2011/07/t100_novels_neuromancer.jpg?w=260;img/book_title/61;William Gibson;1984;Neuromancer;There is no way to overstate how radical Gibson's first and best novel was when it first appeared. He combined a shattered, neon-chased, postmodern cityscape   its inhabitants rendered demi-human by designer drugs, tattoos and rampant surgical body modifications   with his vision of a three-dimensional virtual landscape created by networked computers, through which bad-ass bandit hackers roam like high plains drifters. When one such hacker, Case, gets banned from this 'cyberspace'   Gibson was among the first to use the word   he'll do anything to get back in, including embarking on a near-suicidal cyber-assault on an all but unhackable artificial intelligence. Violent, visceral and visionary (there's no other word for it), Neuromancer proved, not for the first or last time, that science fiction is more than a mass-market paperback genre, it's a crucial tool by which an age shaped by and obsessed with technology can understand itself.;Popular;14.99
62;https://timeentertainment.files.wordpress.com/2011/07/t100_novels_nineteeneightyfour.jpg?w=260;img/book_title/62;George Orwell;1948;1984;"The time is 13 o'clock; the date doesn't matter; the year goes without saying. Winston Smith, a bureaucrat at the Ministry of Truth, toils day and night in the service of Big Brother, the remote, faux-benign ruler of this eerily familiar dystopia. Orwell's novel is a study of every possible way a nation can be beaten down by its government: spiritually, physically, intellectually, by the media, torture, surveillance, and censorship, to the point where the state can manipulate reality at will. When Smith is tempted by a beautiful resistance fighter into an act of rebellion, 1984 becomes something more: a strange, tragic, deeply sad love story. It is Orwell's triumph, and the century's misfortune, that 1984 is as prescient as it is pessimistic.";Popular;15.00
63;https://timeentertainment.files.wordpress.com/2011/07/t100_novels_neverletmego.jpg?w=260;img/book_title/63;Kazuo Ishiguro;2005;Never Let Me Go;Kathy, Tommy and Ruth are students at Hailsham, a very exclusive, very strange English private school. They are treated well in every respect, but as they grow older they come to realize that there is a secret that haunts their lives: Their teachers regard them with fear and pity, and they don't know why. Once they learn the secret it is already far, far too late for them to save themselves. Set in a darkling alternate-universe version of England, and told with dry-eyed, white-knuckled restraint, Never Let Me Go is an improbable masterpiece, a science fiction horror story written as high tragedy by a master literary stylist. It's postmodern in its conception, but Ishiguro isn't playing games or chasing trends: The human drama of Never Let Me Go, its themes of atrocity and acceptance, are timeless and, sadly, permanent.;Popular;12.80
64;https://timeentertainment.files.wordpress.com/2011/07/t100_novels_ontheroad.jpg?w=260;img/book_title/64;Jack Kerouac;1957;On the Road;The book that launched a thousand trips. For his hyperkinetic, endearing, culture-changing novel, Kerouac admitted whole worlds through his windshield. An account of a few pinwheeling characters in perpetual cross-country motion, it has room to spare for rivers, landscapes, starry skies, Benzedrine addicts, endless marathons of driving, the hipster demiurge Dean Moriarty and lots of other fast-talking madmen. 'Because the only people for me are the mad ones,' Kerouac's narrator, Sal Paradise, tells us. 'The ones who are mad to live, mad to talk, mad to be saved.' Capote's famous putdown of the book got it exactly backwards. That's not typing, Truman. That's writing.;Popular;6.99
65;https://timeentertainment.files.wordpress.com/2011/07/t100_novels_oneflewoverthecuckoosnest.jpg?w=260;img/book_title/65;Ken Kesey;1962;One Flew Over the Cuckoo's Nest;When Kesey decided to take on the hypocrisy, cruelty and enforced conformity of modern life, he dug into his own experiences as a test subject in a mental hospital. In Cuckoo's Nest the irrepressible inmate Randle McMurphy does battle with the icy, power-mad Nurse Ratched to liberate, or at least breathe a little life into, the crushed and cowed patients she lords it over, while the book's stonily silent narrator Chief Bromden looks on. Both an allegory of individualism and a heart-tearing psychological drama, One Flew Over the Cuckoo's Nest manages to be uplifting without giving an inch to the seductions of sentimentality.;Popular;11.00
66;https://timeentertainment.files.wordpress.com/2011/07/t100_novels_painted-bird.jpg?w=260;img/book_title/66;Jerzy Kosinski;1965;The Painted Bird;The onset of World War II cuts a young Jewish boy off from his family and sets him adrift among the peasants of rural Poland. There, wide-eyed like a camera with its shutter stuck open, he witnesses atrocities and degradation, sexual and otherwise, that beggar the imagination: the title image refers to the hobby of a man who likes to capture a bird, paint its feathers different colors, and watch as its former fellows tear it apart as an intruder. The surreal carnival of violent depravity is made all the more horrifying when seen from the point of view of a boy who perceives all this as unsurprising and normal: He knows no better, and suffers it all with the endurance of the truly innocent.;Popular;8.99
